,Review,Rating
47,"[[('dinâmico', 'ADJ'), ('pontinhos', 'NOUN'), ('demarcam', 'VERB'), ('opções', 'NOUN'), ('aula', 'NOUN'), ('material', 'NOUN'), ('apoio', 'NOUN'), ('baixar', 'VERB'), ('pequenos', 'ADJ')], [('abro', 'NOUN'), ('aula', 'NOUN'), ('conseguir', 'VERB'), ('selecionar', 'VERB'), ('função', 'NOUN'), ('dificulta', 'NOUN'), ('uso', 'NOUN'), ('dia', 'NOUN'), ('dia', 'NOUN')]]",5
48,"[[('Amo', 'VERB'), ('curso', 'NOUN'), ('fazer', 'VERB'), ('redação', 'NOUN'), ('usando', 'VERB'), ('aplicativo', 'ADJ')]]",4
49,"[[('exercicios', 'NOUN')]]",3
50,"[[('Tem', 'VERB'), ('professores', 'NOUN'), ('encriveis', 'ADJ')]]",5
51,"[[('Topster', 'VERB')]]",5
52,"[[('aplicativo', 'ADJ'), ('é', 'VERB'), ('útil', 'ADJ')], [('Nota', 'VERB')]]",5
53,"[[('melhor', 'ADJ'), ('cursinho', 'NOUN'), ('mundo', 'NOUN')], [('Amo', 'VERB'), ('Descomplica', 'NOUN'), ('😍', 'NOUN')]]",5
54,"[[('Ótimo', 'ADJ'), ('App', 'NOUN'), ('funciona', 'VERB')], [('Satisfeito', 'VERB')]]",5
55,"[[('Quero', 'VERB'), ('saber', 'VERB'), ('horários', 'NOUN'), ('aulas', 'NOUN'), ('vivo', 'ADJ'), ('horário', 'NOUN'), ('Brasília', 'NOUN')]]",5
56,"[[('Adoro', 'VERB'), ('plataforma', 'NOUN'), ('consigo', 'VERB'), ('baixar', 'VERB'), ('material', 'NOUN'), ('apoio', 'NOUN'), ('celular', 'ADJ'), ('posso', 'VERB'), ('acessar', 'VERB'), ('celular', 'ADJ')]]",4
57,"[[('Estou', 'VERB'), ('usando', 'VERB'), ('plataforma', 'NOUN'), ('estudar', 'VERB')], [('gostaria', 'VERB'), ('disponibilizasse', 'VERB'), ('coisas', 'NOUN'), ('site', 'NOUN'), ('coisas', 'NOUN'), ('redação', 'NOUN'), ('atividades', 'NOUN')]]",5
58,"[[('aplicativo', 'ADJ'), ('triste', 'NOUN'), ('ter', 'VERB'), ('tempo', 'NOUN'), ('aproveitar', 'VERB'), ('módulos', 'NOUN'), ('disponíveis', 'ADJ'), ('maneira', 'NOUN'), ('proveitosa', 'ADJ')]]",5
